Country Code,Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AUT,Austria,,95.04364014,97.14814758,96.50691986,,,,,,,,,,,,,,,,,,,,,,,,,99.8747406,98.92333221,,,99.50287628,,100.3068924,,,,,,,100.4425201,96.7753067,98.53124237,98.0967865,98.62798309,96.56767273,98.88742065,98.20957184,98.97820282,97.44068909,100.079628,96.62406921,
AZE,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.49742889,93.98149872,100.9912262,90.24809265,94.85749817,89.6128006,90.931427,98.49185181,89.71559906,91.42843628,88.97885132,92.18356323,91.59458923,86.54667664,97.61051941,101.6183319,109.7202072,107.6183777,100.6412125,100.3731613,99.16851807,96.52568054,99.01213074,95.94606781
BDI,Burundi,,3.009730101,,6.77049017,7.509729862,8.054730415,7.862639904,7.791269779,7.775839806,8.012889862,8.053830147,8.02793026,9.538189888,12.86713028,17.34873962,17.56023979,19.60552025,19.09342003,27.21541023,24.90823936,31.7035408,39.77455902,39.45352936,42.93793869,,,,,,,22.96640015,23.2510891,23.41058922,26.45689964,27.11024094,31.36281013,,45.22140884,39.93029022,47.93864059,53.58657837,59.70814133,66.2401123,74.8393631,73.88234711,66.90740967,69.17881775,68.0269928,61.61993027,57.89453125,53.00183868,,,
BEL,Belgium,,,,,70.61830902,70.50952911,70.17047119,74.04717255,75.35253143,70.98531342,71.98873138,76.77108765,79.49304962,72.6877594,77.30417633,77.43083954,77.69986725,77.9318924,77.59391785,,,80.02400208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,,9.542510033,11.29456043,11.47404957,10.64993954,12.29977989,13.43589973,12.74831963,14.67041969,16.18478012,18.66443062,17.36655045,20.29257965,19.14942932,17.31772995,19.28130913,17.66555023,17.03741074,16.13825035,16.13484001,11.15036011,13.20777988,12.96840954,14.13850021,15.47692966,18.66999054,19.47528076,21.18170929,23.0585804,,25.08330917,28.21789932,29.77749062,34.18796158,39.50815964,,,,52.20484161,,57.21662903,62.92002106,64.46685028,70.16954041,71.69754028,73.32675934,73.06273651,,,58.67406845,57.39344025,67.27951813,61.85314178,
BFA,Burkina Faso,,4.859660149,4.655029774,4.935150146,5.009759903,5.542200089,5.443180084,6.29542017,6.275559902,6.794400215,6.705840111,7.301189899,7.501989841,8.145759583,9.411239624,10.03063965,,11.3882103,12.1655302,11.91926003,13.88665009,14.66030025,20.84297943,18.62601089,19.62026978,14.71557999,17.3873806,,,17.93648911,19.56035995,20.4312191,21.66958046,23.59392929,24.99445915,26.45746994,28.02854919,29.77816963,33.24071121,39.18260956,43.19589996,49.93766785,54.7807312,61.26153946,61.53113174,61.89213181,62.28485107,64.1177063,65.44954681,65.14511108,66.19225311,68.6767807,63.75920868,57.27949905
BGD,Bangladesh,,,,,,,28.27313995,,,,,20.88925934,,,,,,,,,,,,,,,,,,,,,,,,68.14070129,,,59.9092598,65.91586304,68.51152039,,,,,,,,,,,122.0238037,114.6618576,115.5540161
BGR,Bulgaria,,,,,,,,,,,,,,,,,98.389328,100.7602463,103.8477478,105.421051,101.6746979,95.0087204,90.78166199,86.90132904,87.14154816,85.68118286,89.48734283,91.57620239,92.98828888,93.84390259,95.5269928,100.3040466,101.5277023,101.9439621,102.7944336,104.7441635,107.5432968,103.9915466,103.244133,100.9161911,99.53479767,99.28729248,99.03523254,99.85723877,98.85475159,99.26647949,98.5221405,98.70162964,97.39785004,96.7766037,97.91490936,92.74388123,95.41210175,
BHR,Bahrain,,,,,,,,,,,,,79.98316193,77.25019836,78.87255096,79.34705353,80.21053314,84.56002045,90.7056427,98.49977875,,100.0875702,93.44841766,86.92015076,80.45485687,81.86306763,81.16671753,,83.97109985,87.26885986,87.45960236,88.74960327,92.49417114,92.53913116,97.32739258,97.15653992,,,,,,94.40569305,98.20407867,103.3828125,103.6981583,99.77892303,101.2823486,99.25115204,100.6074524,99.5079422,,,93.41542816,89.67569733
BHS,"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.56427002,,,,,,92.9274826,85.78227234,89.40357208,87.7093277,87.05812073,79.50868988,87.86798096,84.23703766,76.04415131,77.33013153,,,,,,,,,
BIH,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.4389267,77.52809143,77.16560364,76.02825165,84.29618073,91.39723969,90.09181976,90.15966797,87.60030365,91.48117828,89.38321686,89.26759338,86.51412201,86.36253357
BLR,Belarus,,,,,,,,,,,,,,,,,,,,,,,,90.1547699,91.55766296,90.19206238,86.73802948,90.2350235,,96.59622955,101.8705597,106.2275696,128.9508972,102.7117615,101.2712021,99.75019073,98.7065506,97.52049255,93.10449219,,,97.50743103,96.38391113,93.74417877,93.21077728,92.90505219,94.20340729,94.43546295,96.18945313,97.98148346,94.54467773,92.68389893,91.02303314,91.6238327
BLZ,Belize,,,,,,,,,,,,,,,,,,,,,,,94.04154968,,,92.59941101,98.53587341,,,96.18917847,96.49181366,103.4109497,,101.3992462,100.7031479,102.170639,99.91230774,105.8033218,98.34117126,102.4344635,97.6375885,103.9134903,109.4514618,103.2650909,102.8333817,105.0754776,105.9806671,102.4538269,104.1733475,103.0270309,105.125412,111.1523132,103.9843979,92.7203064
BMU,Bermuda,,,,,,86.02793884,,,,,,,,,,,,,,,,,,,,,,,,,,103.3942566,108.6075897,106.4267426,,,,,,,,97.93509674,91.76470947,111.0062866,,,,,,,,,,
BOL,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.81828308,97.7385025,98.74069977,95.99178314,91.86830139,89.00408936,89.74640656,90.79193878,93.56347656,90.85948944,92.42285919,,96.91931152,96.31253052
BRA,Brazil,,83.24783325,65.23973083,68.11290741,70.5118103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
